index,square,segment,segment_index,choices,type
0,Don't Game Over or Reset,Segment 3 - (Airship Crash through End of the World),3,,free
1,"Enemy Uses Fire 2, Ice 2, or Bolt 2",Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
2,"Enemy Uses Fire 3, Ice3 or Bolt 3",Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
3,Enemy Uses WaveCannon or Atomic Ray,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
4,Enemy Uses Flash Rain or Sand Storm,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
5,"Enemy Uses Fire Beam, Ice Beam, or Bolt Beam",Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
6,Enemy Uses Lifeshaver or Antlion,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
7,Enemy Uses Any L.X Lore,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
8,Enemy Uses Diffuser or Raid,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
9,Enemy Uses Magnitude8 or Giga Volt,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
10,Enemy Uses Bio or Break,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
11,Enemy Uses Flare or Pearl,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
12,Enemy Uses Doom or Condemned,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
13,Enemy Uses Fire Ball or Blaze,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
14,Enemy Uses Sleep or Imp,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
15,Enemy Uses Mute or Muddle,Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
16,"Enemy Uses Fire Skean, Water Edge, or Bolt Edge",Segment 3 - (Airship Crash through End of the World),3,4,Common Skills
17,Enemy Uses Absolute 0 or Meteo,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
18,Enemy Uses Revenge or Revenger,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
19,Enemy Uses W Wind or Cyclonic,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
20,Enemy Uses Elf Fire or Fire Wall,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
21,Enemy Uses Tentacle or Roulette,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
22,Enemy Uses Blaster or Mind Blast,Segment 3 - (Airship Crash through End of the World),3,1,Uncommon Skills
